pmcid,pmid,citation_count,doi,publication_date,journal,volume,issue,pages,figure_count,table_count,reference_count,keyword_count,funding_sources
PMC5866446,29025901,8600,10.1152/japplphysiol.00459.2017,2017 Oct 12,Journal of Applied Physiology,124,1,140,7,3,0,15,
PMC10414970,37449525,488,10.7554/eLife.85193,2023 Jul 14,eLife,12,,e85193,15,0,0,15,
PMC4945788,27417828,8600,10.1128/genomeA.00553-16,2016 Jul 14,Genome Announcements,4,4,e00553-16,0,0,0,15,
PMC10063413,37007217,22,10.1016/j.bonr.2023.101675,2023 Mar 21,Bone Reports,18,,101675,7,0,0,15,
PMC5443495,28542224,8600,10.1371/journal.pone.0174174,2017 May 24,PLoS ONE,12,5,e0174174,5,4,0,15,NASA
PMC2998437,21151884,100,10.1371/journal.pbio.1000555,2010 Dec 7,PLoS Biology,8,12,e1000555,5,6,0,15,
PMC5286820,28143395,8600,10.1186/s12870-017-0975-9,2017 Feb 1,BMC Plant Biology,17,,31,5,1,0,0,NASA
PMC5826609,29475521,8600,10.1016/j.lssr.2017.11.003,2017 Dec 2,Life sciences in space research,16,,63,8,5,0,15,
PMC8539686,34685382,5,10.3390/life11101010,2021 Sep 24,Life,11,10,1010,7,2,0,15,NASA
PMC6372189,30753230,20,10.1371/journal.pone.0211897,2019 Feb 12,PLoS ONE,14,2,e0211897,3,1,0,15,CUNY 61298; NSF; NSF 0618233; NASA
PMC8879990,35207432,80,10.3390/life12020144,2022 Jan 19,Life,12,2,144,7,3,0,15,NASA
PMC9293686,35570697,60,10.1089/scd.2022.0037,2022 Jul 6,Stem Cells and Development,31,13-14,346,4,0,0,15,
PMC8044432,33870146,8600,10.1016/j.isci.2021.102361,2021 Mar 26,iScience,24,4,102361,7,3,0,0,
PMC10284894,37344487,22,10.1038/s41526-023-00285-0,2023 Jun 21,NPJ Microgravity,9,,47,4,0,0,15,
PMC10470837,37664111,2023,10.3389/fmicb.2023.1215529,2023 Aug 17,Frontiers in Microbiology,14,,1215529,3,0,0,15,
